,"Corn, China","Wheat, China","Japonica Rice, China","Pork, China","Beef, China","Mutton, China","Cotton, China","Soybean, China","Soybean Meal, China","Soybean Oil, China","Rapeseed Meal, China","Rapeseed Oil, China","Palm Oil, China","Pure Benzene, China","Toluene, China","O-Xylene, China","Styrene, China","Butadiene, China","P-Xylene, China","PTA, China","Epoxy Ethane, China","Propylene, China","Polystyrene, China","Natural Rubber, China","PP, China","Causticsoda, China","Potassic Fertilizers, China","Xylene, China","Glycol, China","Acrylamide, China","Acrylic Acid, China","Acrylonitrile, China","Butyl Acrylate, China","PET Chips, China","Methyl Methacrylate, China","PVC, China","Urea, China","Methanol, China","Metallurgical Coke, China","Hard Coking Coal, China","Coking Coal, China","Hot-rolled Sheet/Coil, China","Platinum, China","Silver, China","Palladium, China","Gold, China","Copper, China","Nickel, China","Aluminum, China","Zinc, China","Lead, China","Tin, China","Chrome Metal, China","Silicon Metal, China","Cobalt, China","Ingot, China","Electrolytic Manganese, China","Nickel Sulfate, China","Antimony, China","Soybean Oil, US","Diesel Oil, Singapore","Gasoline, Japan",Brent,WTI,Henry Hub Natural Gas,"Crude Oil, UAE Dubai","Naphtha, Korea","Gold, UK","Silver, UK","Platinum, UK","Palladium, UK"
1,-0.089683599,0.10768937,0.015234381,0.320844748,0.404303885,-0.395799189,-0.780837338,0.015234381,0.383673643,0.015234381,0.045495369,0.015234381,0.015234381,0.015234381,-0.597637813,0.015234381,0.679688653,-0.781582584,-2.516546417,1.184838357,0.015234381,-1.065857229,0.015234381,0.015234381,-0.762979663,0.015234381,0.015234381,1.215248781,1.096325991,0.015234381,-1.926574205,-1.168211384,-0.801096683,0.015234381,0.015234381,0.015234381,0.015234381,2.800929831,-0.579121009,0.015234381,0.015234381,-0.277591597,0.479156596,0.076584076,0.015234381,0.14377461,-1.178064086,-0.238402458,0.474582915,-0.586271192,-0.555434849,0.015234381,0.015234381,0.015234381,0.015234381,-0.924474962,1.815463016,0.015234381,0.015234381,-1.676602319,2.068609588,3.303325028,-5.826295044,-0.270717566,4.980282248,6.545218041,1.866326469,-0.407572342,0.071250448,1.035086872,3.834980537
2,-0.138133541,-0.064386528,-0.003047433,0.424852235,-0.076998259,0.254408191,-0.003047433,-0.003047433,0.330347527,-0.003047433,0.207821609,-0.003047433,-0.003047433,-0.003047433,-1.263568325,-3.048968182,-0.003047433,-0.003047433,-2.585890462,-2.384112303,-0.003047433,-0.003047433,-1.17265141,-0.003047433,-0.003047433,-0.003047433,-0.003047433,-0.827794376,-0.667501705,-0.003047433,-0.003047433,-1.230056692,-1.655977628,-0.003047433,-0.003047433,-0.214240754,-0.003047433,-0.003047433,-0.301555118,-0.003047433,-0.003047433,-0.650298884,0.169690505,-0.658582792,-2.492802595,-1.406336085,-0.232142608,0.516434254,-2.511307121,-0.775252043,0.572438521,-0.344574285,-0.003047433,-0.003047433,-0.003047433,-0.003047433,-0.003047433,-0.003047433,-0.003047433,1.269410558,-0.1622499,-1.079453716,-1.940462827,0,-5.129329439,0.37664828,-0.471383304,0.253042393,-0.36088094,0,4.16726964
3,0.021333984,0.144406139,0.021333984,0.149347656,-0.145255597,-0.15022943,-0.280458875,0.021333984,0.124654048,-0.111972674,0.021333984,0.021333984,0.021333984,0.021333984,1.072868384,0.021333984,0.021333984,0.021333984,0.593172568,-1.19080207,0.021333984,0.021333984,0.021333984,0.021333984,0.021333984,0.021333984,-2.388421174,-0.601720991,-3.368821184,-0.944857108,-1.958928746,-0.597863041,-1.659377848,0.021333984,0.021333984,0.021333984,-2.225951602,-0.551733487,-0.128254676,0.021333984,0.021333984,-0.429229983,-0.958065806,1.049540581,5.737175368,0.950402054,-0.122117483,2.012950809,1.329763865,1.864704152,0.593527038,-0.550482307,0.021333984,0.021333984,0.021333984,0.021333984,0.021333984,0.021333984,0.021333984,0.733115519,-3.133846338,-1.883584421,0.905613992,2.595862826,-3.118292744,-5.010682005,-4.017082312,0.022972135,1.364473593,-0.953523315,-1.025650017
4,-0.077228979,0.245113678,-0.031999269,0.732660362,0.50379878,-0.289897542,-0.443939405,-0.031999269,0.082549797,-0.165653166,-0.001838368,-0.031999269,-0.031999269,-0.031999269,-0.031999269,-0.031999269,-0.031999269,-0.031999269,-1.866253176,1.180136784,-0.031999269,-0.874109509,-0.031999269,1.026211664,-0.031999269,-0.031999269,-0.520997798,-0.44953641,1.790374627,-1.007616763,-0.031999269,-0.655054244,-1.741442605,-0.031999269,-0.031999269,-0.243639559,-0.031999269,1.110870314,-0.181812031,-0.211050346,-0.404439178,0.468502276,-1.753728328,-0.342462107,-0.031999269,-0.426015929,0.683209044,1.082177005,-1.15245917,-1.180117506,-0.031999269,-0.240745822,-0.031999269,-0.031999269,-0.031999269,-0.031999269,-0.031999269,-0.031999269,1.406046795,-0.348432408,1.359055726,-1.584075365,-0.138792527,-5.836500499,-1.366763873,0.983292092,-0.685487169,0.490343076,-1.581628944,0.477898162,1.432982555
5,-0.123557946,0.180592719,0.027444463,-0.268101456,0.064304029,-0.229459981,-0.510435823,0.027444463,-0.029147159,0.027444463,0.027444463,0.027444463,0.209686927,0.027444463,0.56945121,0.027444463,-0.659843466,0.027444463,2.245650016,0.027444463,0.027444463,1.544266611,0.027444463,2.110853154,0.027444463,0.027444463,-0.463957017,-0.406395697,2.718189755,-0.468834471,0.027444463,-0.607478305,0.027444463,0.027444463,0.027444463,0.452073551,0.027444463,-0.532781092,0.027444463,0.027444463,0.027444463,0.076572443,-0.749371344,0.182075699,0.027444463,0.458851517,0.614376218,0.027444463,-0.814075229,0.027444463,0.443088364,0.307455017,0.027444463,0.027444463,0.027444463,0.027444463,3.06610542,0.027444463,1.44510359,-0.760722894,-6.81214294,-2.670601765,-5.060101329,-6.493668024,-2.267670867,-4.073446334,-2.366937057,1.416842714,0.142450167,-1.69290621,-2.639747185
6,-0.297869097,-0.133345251,-0.010673742,0.158316581,-0.065968186,-0.893444035,-0.225392931,-0.010673742,-0.123580315,-0.010673742,-0.010673742,-0.010673742,-0.010673742,-0.010673742,-2.307111454,-0.010673742,-3.519805723,-0.010673742,-1.298640028,-0.010673742,-0.010673742,2.117066103,-1.791136205,-0.010673742,0.773644004,-0.010673742,-0.010673742,-0.664983601,-0.010673742,-0.509427893,-0.010673742,-0.010673742,-0.010673742,-0.010673742,1.025604962,0.622908103,-0.010673742,-0.856941134,-0.010673742,-0.010673742,-0.010673742,-0.256555351,-0.276278148,0.236239964,-0.010673742,0.791097012,0.074930487,0.326545257,0.9239125,-0.543602297,-0.010673742,1.050371495,-0.010673742,-0.010673742,-0.010673742,-0.010673742,2.424229159,-0.010673742,-0.010673742,0.450217211,-2.647937959,0.592866911,5.897230877,10.21695228,1.818231908,-0.219058138,-2.794735263,-0.477653586,-0.285103543,-0.734397426,2.23814022
7,-0.191991111,0.050291031,1.619857705,0.609050864,-0.146243448,0.773893717,0.01982357,0.01982357,0.042564188,0.01982357,0.01982357,0.335779599,0.01982357,0.01982357,1.447634757,2.081752291,0.731570347,0.01982357,0.481718156,0.01982357,0.01982357,1.066953557,-1.185010281,1.045473587,0.01982357,0.01982357,0.01982357,-1.080297536,0.351132543,0.01982357,0.01982357,-0.61915624,0.01982357,0.01982357,-1.016455133,0.01982357,0.01982357,0.30270919,0.01982357,0.01982357,0.01982357,0.01982357,0.4179661,-0.319840181,0.01982357,-0.695888658,0.048342036,1.140568872,0.668875455,1.158355793,0.01982357,0.988576367,0.01982357,0.01982357,0.01982357,0.959532913,0.01982357,0.01982357,0.01982357,1.916554214,9.14735854,5.047763366,9.896095924,8.183726985,-0.451468035,9.491137621,5.898123607,-0.022802417,1.135569335,2.307327616,1.992097749
8,0.098543217,0.022878235,0.022878235,-0.271301427,0.299503584,-0.235020039,0.022878235,0.022878235,0.000137617,0.067353307,0.022878235,0.022878235,0.92957496,0.022878235,0.566653365,2.043148966,2.128219154,0.022878235,2.750320026,2.432633392,0.022878235,0.022878235,1.227712086,0.022878235,0.022878235,0.022878235,0.022878235,0.684402146,1.879840387,0.022878235,0.022878235,0.022878235,0.022878235,0.979823336,0.022878235,0.022878235,0.022878235,-0.543695519,0.022878235,0.022878235,0.022878235,0.022878235,1.302078685,0.239161341,0.022878235,0.533400805,-0.692534747,-0.893158705,0.759529816,0.022878235,0.022878235,1.803161612,0.022878235,0.022878235,0.022878235,1.569699485,0.022878235,0.022878235,0.022878235,-0.203596949,5.0524206,0.598977735,-2.123503813,-5.644332264,-2.288429383,4.102939224,-0.621120009,0.939698678,0.352237067,3.42216285,-2.59754864
9,0.013729454,-0.078130239,0.013729454,0.977087689,1.076205101,-0.894188586,-0.744657515,0.013729454,-0.020204688,0.102620301,0.013729454,0.013729454,1.625222439,0.013729454,-0.748386375,0.013729454,0.013729454,0.013729454,0.013729454,0.013729454,0.013729454,-0.403807688,1.204219704,-2.048199267,0.791943498,0.013729454,0.013729454,0.013729454,-1.074420565,0.013729454,0.013729454,0.013729454,0.013729454,0.013729454,0.013729454,2.508661358,0.013729454,0.580303207,0.013729454,-1.248685869,-1.300843468,0.013729454,2.376023677,0.935394964,0.013729454,1.420198494,0.329141901,-0.68987943,-1.186100353,0.013729454,0.202088899,1.987932353,0.013729454,0.013729454,0.013729454,0.013729454,0.013729454,0.013729454,0.013729454,1.013864717,-7.44412083,-5.361782634,3.687053581,-2.573241397,4.525659159,-6.402818686,-10.45647092,0.630575912,0.770581746,0.578370612,1.207258123
10,0.00785518,0.022886612,0.022886612,0.770398399,-1.482557645,1.145766041,-0.448565874,0.022886612,-0.011059049,0.022886612,0.022886612,0.022886612,0.022886612,0.022886612,0.350219147,0.022886612,0.022886612,0.022886612,-2.116426302,-1.174732492,0.022886612,0.022886612,0.022886612,0.022886612,0.022886612,0.022886612,0.022886612,0.022886612,3.040356924,0.022886612,0.022886612,0.022886612,0.022886612,0.022886612,0.022886612,0.228014889,0.022886612,1.146493939,0.022886612,-0.15876648,0.022886612,0.170488115,2.17078978,0.084029995,0.022886612,0.060854087,1.613377396,1.352635146,0.022886612,1.521041974,1.51712435,1.987624383,0.022886612,0.022886612,0.022886612,0.022886612,0.022886612,0.022886612,0.022886612,0.43616912,5.365271349,1.852650653,2.835939615,8.994095655,0,7.089582163,2.47660008,0.237684261,0.348311045,1.032711416,-1.207258123
