,Corn..China,Wheat..China,Japonica.Rice..China,Pork..China,Beef..China,Mutton..China,Cotton..China,Soybean..China,Soybean.Meal..China,Soybean.Oil..China,Rapeseed.Meal..China,Rapeseed.Oil..China,Palm.Oil..China,Pure.Benzene..China,Toluene..China,O.Xylene..China,Styrene..China,Butadiene..China,P.Xylene..China,PTA..China,Epoxy.Ethane..China,Propylene..China,Polystyrene..China,Natural.Rubber..China,PP..China,Causticsoda..China,Potassic.Fertilizers..China,Xylene..China,Glycol..China,Acrylamide..China
"Corn, China",0.315780471,0.069047194,0.05785031,0.005555092,0.021861103,0.018162832,0.029836218,0.041134186,0.017849062,0.008063474,0.012665602,0.007240489,0.005006441,0.006304151,0.009778648,0.005642356,0.007639911,0.004131896,0.003161849,0.005257807,0.003104227,0.004304032,0.011189708,0.005032744,0.007975721,5.05E-05,0.015835805,0.01136697,0.004408215,0.011419806
"Wheat, China",0.064661468,0.295722789,0.046379142,0.00435301,0.017854912,0.010951441,0.035188523,0.027970145,0.008032927,0.00737436,0.005148691,0.008212552,0.00479899,0.006290102,0.01104169,0.005303594,0.005505259,0.003604684,0.002116675,0.007000476,0.007417337,0.009302613,0.009669106,0.007036284,0.010780641,0.001266082,0.020243059,0.011539801,0.004742859,0.018847161
"Japonica Rice, China",0.066620379,0.057032786,0.363652582,0.00613109,0.017454502,0.014457281,0.031797513,0.027871446,0.006021607,0.007925889,0.006607365,0.007686728,0.005657844,0.008791243,0.009519838,0.008382515,0.00882976,0.003752797,0.000845159,0.004032655,0.00690238,0.002015687,0.011093427,0.005566378,0.003834071,0.000805291,0.010653525,0.008556336,0.005942424,0.014167406
"Pork, China",0.015025367,0.012572567,0.014400252,0.854120355,0.017197585,0.005286807,5.13E-05,0.014707825,0.004740891,0.002726195,0.002362891,0.001743843,0.000206533,7.62E-05,0.000355887,0.000162009,2.12E-05,0.001144175,0.001678456,7.40E-05,1.22E-05,0.000341507,0.000549269,0.000164372,4.39E-05,0.002580768,0.000269113,5.39E-05,0.000299508,0.007849154
"Beef, China",0.038475018,0.033555594,0.026675515,0.011190266,0.555766067,0.08601435,0.015152411,0.01802041,0.009084131,0.00386931,0.006627801,0.00393042,0.002739043,0.004481271,0.003337834,0.002501018,0.003375888,0.0016885,0.001170729,0.002744361,0.000469972,0.001470565,0.002756652,0.003115209,0.003959165,0.006514237,0.005693928,0.003500498,0.002461083,0.007586661
"Mutton, China",0.035388392,0.022784999,0.024460339,0.00380835,0.095222902,0.615265449,0.010527111,0.011227677,0.004254291,0.001877616,0.004905524,0.001183526,0.002473545,0.002391986,0.002294028,0.00388638,0.0024692,2.30E-05,0.000333063,0.001433127,0.001925135,0.001081576,0.005184528,0.001778272,0.002443379,0.006333264,0.004363273,0.003153969,0.002363668,0.009010166
"Cotton, China",0.027426993,0.034541081,0.025382018,1.74E-05,0.007914244,0.004966682,0.290281716,0.015238315,0.003616191,0.008358545,0.005575461,0.007532595,0.007264403,0.017974743,0.024005204,0.006611475,0.012691599,0.004292644,0.016495042,0.015770089,0.010497744,0.014568747,0.019355787,0.013271034,0.018138758,0.002947596,0.009722714,0.021194416,0.013093888,0.015389883
"Soybean, China",0.061555069,0.044694708,0.036217545,0.00813721,0.015322118,0.008623302,0.024806383,0.472548273,0.008811102,0.00441669,0.007797912,0.004409617,0.002501046,0.001157965,0.00489111,0.008135781,0.003186652,0.000392928,0.002668805,0.004712263,0.00165903,0.003533501,0.005210554,0.002447572,0.01040475,0.000449563,0.013226163,0.006360617,0.004106824,0.011990591
"Soybean Meal, China",0.023214667,0.01115633,0.006800769,0.002279677,0.006713109,0.00283986,0.005116394,0.007658018,0.410707207,0.0549086,0.210771828,0.042658035,0.024299726,0.001200519,0.002674154,0.001054506,0.001587251,0.000640749,0.001745625,0.006814523,0.00098974,0.000780882,0.003696639,0.006667981,0.002075275,0.000277639,0.000782167,0.006787562,0.004717874,0.000438081
"Soybean Oil, China",0.006548928,0.006395447,0.005589757,0.000818601,0.001785565,0.000782675,0.007384858,0.002397077,0.03428788,0.256467211,0.035381472,0.135736981,0.152659391,0.007770765,0.009833538,0.000678204,0.009033744,0.001343084,0.001464289,0.014110471,0.000677917,0.005683558,0.005434649,0.017889258,0.006382436,9.60E-06,0.000189211,0.013016839,0.015894156,0.002287485
