alpha0,alpha1,beta,rho
0.05,0.07,0.36,0.28
0.052,0.077,0.34,0.3
0.048,0.063,0.38,0.27
0.055,0.084,0.33,0.31
0.051,0.07,0.35,0.29
0.049,0.077,0.37,0.26
0.053,0.091,0.32,0.32
0.05,0.063,0.39,0.28
0.056,0.084,0.34,0.3
0.052,0.07,0.36,0.29
0.054,0.098,0.31,0.33
0.049,0.084,0.35,0.31
0.051,0.077,0.33,0.34
0.055,0.091,0.32,0.32
0.05,0.07,0.37,0.3
0.053,0.084,0.34,0.33
0.048,0.063,0.4,0.27
0.057,0.098,0.3,0.35
0.052,0.077,0.35,0.32
0.05,0.091,0.33,0.31
0.056,0.105,0.28,0.36
0.051,0.084,0.34,0.34
0.054,0.098,0.31,0.35
0.049,0.07,0.38,0.29
0.055,0.091,0.32,0.33
0.052,0.077,0.36,0.31
0.05,0.084,0.33,0.34
0.058,0.105,0.29,0.37
0.053,0.091,0.34,0.33
0.051,0.07,0.37,0.3
