,Corn..China,Wheat..China,Japonica.Rice..China,Pork..China,Beef..China,Mutton..China,Cotton..China,Soybean..China,Soybean.Meal..China,Soybean.Oil..China,Rapeseed.Meal..China,Rapeseed.Oil..China,Palm.Oil..China,Pure.Benzene..China,Toluene..China,O.Xylene..China,Styrene..China,Butadiene..China,P.Xylene..China,PTA..China,Epoxy.Ethane..China,Propylene..China,Polystyrene..China,Natural.Rubber..China,PP..China,Causticsoda..China,Potassic.Fertilizers..China,Xylene..China,Glycol..China,Acrylamide..China,Acrylic.Acid..China,Acrylonitrile..China,Butyl.Acrylate..China,PET.Chips..China,Methyl.Methacrylate..China,PVC..China,Urea..China,Methanol..China,Metallurgical.Coke..China,Hard.Coking.Coal..China,Coking.Coal..China,Hot.rolled.Sheet.Coil..China,Platinum..China,Silver..China,Palladium..China,Gold..China,Copper..China,Nickel..China,Aluminum..China,Zinc..China,Lead..China,Tin..China,Chrome.Metal..China,Silicon.Metal..China,Cobalt..China,Ingot..China,Electrolytic.Manganese..China,Nickel.Sulfate..China,Antimony..China,Soybean.Oil..US,Diesel.Oil..Singapore,Gasoline..Japan,Brent,WTI,Henry.Hub.Natural.Gas,Crude.Oil..UAE.Dubai,Naphtha..Korea,Gold..UK,Silver..UK,Platinum..UK,Palladium..UK
Corn..China,0.315780471392712,0.0690471942346035,0.057850310162288,0.00555509229802246,0.0218611030828017,0.0181628320141961,0.0298362183002177,0.0411341863341014,0.0178490623152109,0.00806347379978803,0.0126656023756737,0.00724048885476572,0.00500644123560635,0.00630415113001911,0.00977864797112581,0.00564235567424411,0.00763991138885672,0.00413189575746909,0.00316184860264812,0.00525780701697354,0.00310422652188214,0.00430403227915212,0.0111897079258804,0.00503274394284192,0.00797572116611259,5.04976428633988e-05,0.0158358050111864,0.011366970087572,0.00440821510205363,0.0114198057469461,0.00257644680436476,0.0056504758201958,0.00650436333131329,0.00956571515130568,0.00358517260771241,0.00922914453079763,0.0158843077216492,0.00136988070103394,0.00815954346813502,0.00693880088045505,0.0115968278372725,0.00728096392700707,0.0130116885205345,0.0122886516990848,0.00438695417764679,0.0252059318355688,0.0157592982490588,0.00698876969376073,0.0101832777021449,0.00904752344314544,0.0081283425816416,0.0134974815816462,0.0170933506677055,0.00219379570474785,0.00492811470920785,0.00210106516700704,0.00242032201995682,0.0171026578257752,0.0118030037258942,0.000217426864922803,6.74254754620402e-06,3.37373489577966e-05,0.000244827637463896,0.00025795749262001,0.000288120847204316,2.32815428222013e-05,2.95177610961773e-06,0.00225234625057955,0.00403604491928498,0.00060549532251467,0.000892375996389727
Wheat..China,0.0646614681275557,0.295722789500856,0.0463791416566944,0.00435301010167814,0.017854911584359,0.010951441490678,0.0351885229880523,0.0279701453021511,0.00803292708312726,0.00737436049743173,0.0051486914060711,0.00821255202972258,0.00479899016011945,0.00629010249037626,0.0110416902958219,0.00530359442572261,0.00550525918928195,0.00360468418160692,0.00211667500110715,0.00700047580952102,0.00741733660322634,0.0093026128247095,0.00966910649083934,0.00703628446405683,0.0107806407048759,0.00126608168870157,0.0202430591176844,0.011539800975984,0.00474285902766917,0.0188471608625873,0.00280911712177445,0.00412450291997451,0.00515831905811318,0.0104140431968828,0.00150284177585252,0.0124561784428555,0.0115955056719252,0.00536252156560069,0.0150177354484005,0.0257225041778211,0.0308871946564507,0.0155975621749173,0.0126031742302802,0.0110758377032953,0.0074523003328585,0.0177153931280528,0.0153185479334297,0.00838921600367382,0.0116457547599557,0.0109385485489091,0.0097570922866502,0.0122790760579567,0.0131874268679274,0.00451559818225592,0.00551386530150363,0.00145618240275924,0.00427251514493933,0.0149920995335792,0.0109402889417098,2.56823209523599e-05,0.000238338813198505,1.15343290936183e-05,0.000168189676655916,3.77805153398165e-05,9.90540422994999e-05,1.19585580658457e-05,0.000124497848454343,0.0012086750140954,0.00461331340428511,0.00101962158672637,0.00138403423825955
Japonica.Rice..China,0.066620378966229,0.0570327861925445,0.36365258224719,0.00613108991284597,0.0174545022687697,0.0144572807556908,0.0317975127222454,0.0278714463308725,0.00602160693657278,0.00792588884411126,0.0066073649476421,0.00768672799703549,0.00565784379657069,0.00879124262220229,0.00951983838094236,0.00838251509190322,0.00882976045987322,0.00375279666071244,0.000845159458736295,0.00403265493101814,0.00690238048236267,0.00201568733163974,0.0110934269708971,0.005566378017187,0.00383407129850763,0.000805290636968133,0.010653524749232,0.00855633603035668,0.00594242395090207,0.0141674063342947,0.00637638308532529,0.00642229534605742,0.00734418360944332,0.0114958456825184,0.00853346614150761,0.010065694856755,0.00995566708239226,0.00170260207191704,0.00693030911372685,0.0126835551728245,0.0135044699225711,0.0110096078373794,0.0105910886378452,0.0108166559402447,0.00513871809930656,0.0193196671102521,0.0139867348367245,0.00715752693019376,0.0104290229229809,0.00864165314948652,0.0127491494461725,0.0100780544623137,0.0104651838951147,0.00158620769501321,0.00481750426930955,0.00186941751946916,0.00267057685880826,0.0125710184060237,0.0123673953984791,5.8373740756362e-05,4.02738188596696e-05,1.90878703931141e-05,0.000108061428708205,4.91728686687591e-05,1.8924819630184e-06,9.02183960685449e-07,1.67386178999093e-05,0.000388566755791718,0.00485256156877562,0.00018171298191115,0.000395094856099334
Pork..China,0.0150253667841703,0.0125725668281486,0.0144002516381922,0.854120355055619,0.0171975853269742,0.00528680690297768,5.13411905355619e-05,0.0147078245179234,0.00474089132302906,0.00272619542395995,0.00236289092571572,0.00174384251817997,0.000206533325257419,7.61882011728727e-05,0.000355886889904755,0.000162008850253586,2.11807384780798e-05,0.00114417459670914,0.00167845569252603,7.40329316110772e-05,1.21516851221769e-05,0.000341507489921391,0.00054926908795327,0.000164372088888941,4.39294853619469e-05,0.00258076810161881,0.000269112882164177,5.39066825686967e-05,0.00029950789139454,0.00784915385380566,0.000734684300802855,0.00160647195014816,5.51871454396368e-06,6.38556090028037e-05,2.40625143136693e-06,0.00215761097950619,2.77320832191756e-05,4.53422213033916e-05,0.000224726949022474,3.544961050405e-07,3.34111607636648e-05,1.64480403574143e-07,0.00287555737364432,0.00220887517599074,0.0015762395909135,0.00493146400138834,0.00124646356553772,0.000394849247765554,1.0798181983924e-08,0.000671402776183749,0.00241192766678692,1.33463264517807e-06,0.00729917121954974,0.000102924607945917,0.00147234644806504,3.69831203940063e-06,0.000702000789360857,0.000233750485045419,0.00078605693218669,0.000111746928183506,0.000358264849513089,0.00018918178159584,3.6993176201485e-05,0.000220097581318882,0.00086795215290895,6.19258521527328e-05,0.000525880104464472,0.000147160860904968,0.000790869677681912,0.00186968969212356,0.00218182561332857
Beef..China,0.0384750178393811,0.0335555944000396,0.0266755154303324,0.0111902664469672,0.555766066522097,0.0860143502315199,0.0151524115004596,0.0180204094982095,0.00908413071476786,0.00386930981078208,0.00662780099935568,0.00393041988179797,0.00273904280483847,0.00448127055242956,0.00333783444681274,0.00250101824257354,0.00337588847548829,0.00168850011019571,0.00117072921807853,0.00274436123130546,0.000469971780266398,0.00147056500923582,0.00275665150990068,0.00311520873608734,0.00395916518012389,0.0065142368731497,0.00569392755447889,0.00350049822275976,0.00246108329789424,0.00758666055543678,0.00169723677698649,0.00438200718776324,0.00349325234544941,0.0054945508740414,0.00227269953693248,0.00346494151502925,0.00576255552381546,0.00133818503595762,0.00410544073497475,0.00641200449460384,0.00928574978147525,0.00806835127422702,0.00550549699821256,0.00547741805855892,0.0049743541952109,0.00957545796197438,0.00489372392838501,0.00101524659857464,0.00340305283982884,0.00568187310711909,0.00338844624064031,0.0050743742361729,0.00699667289028231,0.0046734550457613,0.000724110816956087,0.00272994515485537,0.00202691079692287,0.0036165578565586,0.00424261830662142,0.000147788214906695,8.96658970938203e-06,2.91374766138807e-05,0.000109893469752704,0.000379982655822018,1.99338182638239e-05,0.000478828262483316,9.34785401841391e-05,0.00043868828362974,0.000528010643803787,8.96034490721217e-06,5.17345092661941e-05
Mutton..China,0.0353883916185221,0.0227849993332995,0.0244603386968181,0.00380835042928995,0.0952229021694726,0.615265448603634,0.0105271114553202,0.0112276774021904,0.00425429112294456,0.00187761562113212,0.0049055240784389,0.00118352580031884,0.00247354508006119,0.00239198574458088,0.00229402771373876,0.00388637973350716,0.00246920011939522,2.30275160928668e-05,0.000333063372794095,0.00143312685446397,0.00192513489087882,0.00108157609179373,0.00518452848338305,0.00177827228254901,0.00244337944012438,0.00633326372066434,0.00436327279199058,0.00315396866107494,0.00236366845130267,0.00901016598716529,0.00220186865480387,0.00382421978077609,0.00317054792676197,0.00247034528286721,0.00130838812779175,0.00390876143097358,0.00404732248242299,3.21523748980529e-05,0.00318890423316184,0.00166017546277471,0.0032578960343634,0.00934323898133516,0.00641440975054683,0.00378714767540206,0.00376039476497795,0.00785200837080418,0.00638422411462443,0.0013763953008219,0.00615469395425018,0.00434680660803443,0.00393602800045124,0.00546698117218127,0.00521547886642672,0.00399432180384252,0.0016794213341054,0.00206101590103019,0.00142886216504082,0.00420219719591453,0.00369908889319667,0.000133396027873212,0.000283416474549915,2.10808505794026e-05,0.000765197511279054,0.000293104674696405,0.000313966482411258,0.00124748906203106,0.000602546719193573,0.00037083852765409,0.00123954204100184,0.000429753588698489,0.000278608128507354
Cotton..China,0.027426992554367,0.0345410809988309,0.025382018437629,1.74488393651961e-05,0.00791424354967324,0.0049666822367156,0.290281715683761,0.0152383148550137,0.00361619051965192,0.00835854546647279,0.00557546125542208,0.00753259485344378,0.00726440340215682,0.0179747432581409,0.0240052037926018,0.00661147464622345,0.0126915987442825,0.00429264429344872,0.0164950424160605,0.0157700888016364,0.0104977441198437,0.0145687468903402,0.0193557870408415,0.0132710343748682,0.0181387584166411,0.00294759597365227,0.00972271411835174,0.0211944159717051,0.0130938880042939,0.015389882789585,0.00953423966009832,0.00696500992543766,0.014157378145125,0.0350010570666123,0.0123167551935146,0.0203236336700422,0.0100240286285495,0.0121060086490312,0.00913389570527447,0.018420515987543,0.0191444718859839,0.0131820836423423,0.00686374244276888,0.00676628778822046,0.00541712927197706,0.0077613963736285,0.0155927643130301,0.0105585440835985,0.0106625204753292,0.011788032112094,0.00497389002323683,0.0131203349128565,0.0122292506422153,0.00171746497984904,0.00383478218784422,0.000269352019256678,0.00876525012345366,0.0100498909966172,0.00883782657522244,8.09316687392164e-06,0.000363485229976148,7.43551869580583e-05,2.03649805111924e-05,0.000141449109739749,0.000129370326178225,4.76585862278194e-05,4.58335478212909e-06,0.000148712607571386,0.00347321110423814,0.000773829431268667,0.00116029312990206
Soybean..China,0.0615550689609074,0.0446947084009311,0.0362175451484139,0.00813721043775103,0.0153221182277354,0.00862330165409402,0.0248063828052871,0.47254827250519,0.00881110219122566,0.00441669014726271,0.00779791151598827,0.00440961723719919,0.0025010456126615,0.00115796548437043,0.00489110955404393,0.00813578070787904,0.00318665227015428,0.000392928042996502,0.00266880524277153,0.00471226334222254,0.00165902977118365,0.00353350103603086,0.0052105540898275,0.00244757243098633,0.0104047504067034,0.000449562964057813,0.0132261626805402,0.00636061677154047,0.0041068236137261,0.0119905914907054,0.00186501649027434,0.0051046404020551,0.00264172735139498,0.00919121397686116,0.00293742102450578,0.00967410454115351,0.0104764075487573,0.0033671445993674,0.0031049938483799,0.0124670825616912,0.0163750456595992,0.00999813004855425,0.00693807568298148,0.00609740502324367,0.0042450755348056,0.0104761673933666,0.0126999238620074,0.00143438870383941,0.0032707009495109,0.0078474760993488,0.0113886206888293,0.00777637877798096,0.0185897728514264,0.0041907065517615,0.00180848959268753,0.00131097087098613,0.00147977945511465,0.0132268768778666,0.0117786234885314,1.46691201576743e-05,2.30302284681342e-05,0.000818600282302138,0.000169742442280194,1.09847889398537e-05,0.000118587266811362,0.000235095656214584,0.000508862639669371,8.51735460816777e-05,0.00146642590500631,0.000363363823764662,4.74590990339214e-05
Soybean.Meal..China,0.0232146671160622,0.0111563300523872,0.00680076943024515,0.00227967665315053,0.00671310858221839,0.00283986046579618,0.00511639358203986,0.00765801798289424,0.410707206668655,0.0549085996602969,0.210771827844959,0.0426580350517414,0.0242997262494502,0.00120051944807637,0.00267415406729715,0.00105450575654024,0.0015872506661427,0.000640749102619421,0.00174562547325431,0.00681452263848807,0.000989739668288349,0.000780882424600738,0.00369663857907644,0.00666798071834447,0.00207527535402552,0.000277638936942234,0.000782166646940776,0.00678756218930825,0.00471787366400096,0.000438080748527435,0.00216613589423088,0.000895561320804111,0.00108441082848359,0.00137489853221291,0.000760833785439161,0.0020905462537181,0.00856128319608044,0.00515745436026466,0.00164940525305089,0.000767149978433411,0.0015668101783986,0.0122584780361094,0.00470296922246036,0.00690693151497079,0.00260970229092675,0.00732529568803949,0.011086522145198,0.0113656019956693,0.00561726659370687,0.00934525021717728,0.00334136935674505,0.012669424399741,0.00184638682226421,0.00109791360649819,0.00146562392784206,0.00777303893239892,0.00270094850563229,0.00697192516854882,0.00246957092166678,0.00100389643846574,0.00182944024070294,6.18740150516774e-05,0.000107055255516426,0.000347562496323733,0.000308962310159338,0.000822225938361961,0.000418888074748372,0.000680746187191877,0.00258322497294813,0.0010788854280559,0.00107314429339155
Soybean.Oil..China,0.00654892838693432,0.00639544685015418,0.00558975736975713,0.000818601323311043,0.00178556542961434,0.000782674638715754,0.00738485779447877,0.00239707742907993,0.0342878799737506,0.256467210742775,0.0353814723577734,0.135736980790641,0.152659390852681,0.00777076457633415,0.00983353789078923,0.000678203623112204,0.00903374398685824,0.00134308415922348,0.00146428877480444,0.0141104709404905,0.000677917080910653,0.00568355779383278,0.00543464909435537,0.0178892581645055,0.00638243604077583,9.59855846374514e-06,0.000189210582068021,0.0130168394788295,0.0158941559033681,0.00228748537792492,0.00303178479215928,0.00144502868939836,0.00429184667734228,0.00532483573768335,0.000899375934514481,0.0155488679349995,0.00113956559750096,0.00430467476338148,0.000529310795425876,0.0017353359223756,0.00248125159996417,0.013073751111122,0.00788952396575132,0.0148516747769645,0.00511431199521326,0.0100137490752648,0.0286044782130533,0.0163761796898521,0.0135457526024628,0.0174544870828036,0.00340602856272225,0.0179816356153974,0.00140536220981618,0.000951816363391166,0.00221711560122689,0.00114701286865913,0.000466301059825376,0.00474905833714676,0.00297843574040779,0.00251811709274897,0.00520571380225508,0.00560365252511335,0.00114887644489153,0.00112854783546246,0.000214524054840651,0.00658077554479366,0.00312226607800762,0.00157851488098658,0.00629202029748952,0.00290335410830212,0.00281003805296987
