"","Corn..China","Wheat..China","Japonica.Rice..China","Pork..China","Beef..China","Mutton..China","Cotton..China","Soybean..China","Soybean.Meal..China","Soybean.Oil..China","Rapeseed.Meal..China","Rapeseed.Oil..China","Palm.Oil..China","Pure.Benzene..China","Toluene..China","O.Xylene..China","Styrene..China","Butadiene..China","P.Xylene..China","PTA..China","Epoxy.Ethane..China","Propylene..China","Polystyrene..China","Natural.Rubber..China","PP..China","Causticsoda..China","Potassic.Fertilizers..China","Xylene..China","Glycol..China","Acrylamide..China","Acrylic.Acid..China","Acrylonitrile..China","Butyl.Acrylate..China","PET.Chips..China","Methyl.Methacrylate..China","PVC..China","Urea..China","Methanol..China","Metallurgical.Coke..China","Hard.Coking.Coal..China","Coking.Coal..China","Hot.rolled.Sheet.Coil..China","Platinum..China","Silver..China","Palladium..China","Gold..China","Copper..China","Nickel..China","Aluminum..China","Zinc..China","Lead..China","Tin..China","Chrome.Metal..China","Silicon.Metal..China","Cobalt..China","Ingot..China","Electrolytic.Manganese..China","Nickel.Sulfate..China","Antimony..China","Soybean.Oil..US","Diesel.Oil..Singapore","Gasoline..Japan","Brent","WTI","Henry.Hub.Natural.Gas","Crude.Oil..UAE.Dubai","Naphtha..Korea","Gold..UK","Silver..UK","Platinum..UK","Palladium..UK"
"Corn..China",0.377476856958583,0.0444858364145501,0.0541995421779239,0.00266263353201575,0.0142178457172717,0.0160962612869208,0.0241728142605581,0.0330441292061063,0.00694313387638489,0.00640619384800714,0.0105762209970046,0.00823329744683134,0.0036474189107882,0.00652064342334876,0.00427742492789043,0.00495811223959013,0.00838770804589352,0.000192956588730021,0.000867193155397861,0.00365218720197109,0.00444811710953601,0.00318908455950545,0.00888679498753098,0.000901170687124427,0.00277598652032299,0.00127058404861279,0.0312070335202526,0.00562421538630927,0.00266990450462224,0.0168549924521317,0.00403543754780024,0.00183344489679384,0.00646173166356261,0.00812214418998921,0.000242746260413345,0.0117853590095843,0.0201325721928084,5.37842465523421e-05,0.00343442329766359,0.000977934561707331,0.00551740300483283,0.00230105402806425,0.0274415733692635,0.0234157761329008,0.0107241826792415,0.0358671695933238,0.0094440830201122,0.00361679885738618,0.00865384172803327,0.00273942154952552,0.00308173373032569,0.0123794305179187,0.0123481008330173,0.0299923879869959,0.00159487214935616,0.0100189317627784,0.00116552041978279,0.00857304492468014,0.0156622962607735,0.000328784205484443,0.00072599981574444,0.00022387778434531,3.27159097133698e-05,8.70895194655368e-05,2.70134740180121e-05,1.41575219712046e-05,5.29348885671712e-05,0.0034300266094624,0.00242569626288455,0.00147685808758892,0.000711351513850618
"Wheat..China",0.0346461161350025,0.293983615427433,0.0465715853202438,0.00369667916089085,0.0159661550207925,0.00711932638332907,0.0542020329803245,0.0280326719880245,0.00621358553365466,0.0157229058639982,0.00329627769007822,0.0208480987725719,0.00783538557185509,0.0127139434917367,0.00757347744530373,0.00400653326016003,0.00429379973115731,0.00359730679873004,0.00432070143256686,0.00862605072713059,0.00648101342493906,0.00781473492961467,0.00520697522147686,0.00588941429840314,0.0046944941953544,0.00478408060883641,0.0158162651641955,0.00961862815548797,0.00348698922036582,0.0260426677173928,0.00152752153354683,0.0026174623260134,0.00246410821025533,0.0117415155459822,0.00194822370686896,0.0129900517079668,0.0121633856758676,0.00473828029052566,0.0149041296114191,0.0246751446026231,0.0318003951638032,0.0152046453260587,0.0188519034675908,0.00940930342761283,0.00490741716679962,0.0121055587979796,0.0106286229125755,0.00602265610106003,0.00710711765877449,0.00620852060340079,0.00835244909142546,0.0121078567727568,0.00844734061196747,0.0266371654111055,0.00264620319457315,0.0172721765773359,0.00389230051982619,0.00778870803054986,0.0183826122098282,8.51186030787041e-05,9.81049884685338e-05,0.000187404676449173,0.000331281781164342,1.28383651559217e-05,0.000293272236403091,0.000177291601489868,0.000488981159596215,0.000676241595663609,0.00553035486352035,0.00121767022108426,0.00025715198078174
"Japonica.Rice..China",0.0551496148455045,0.0608464284435834,0.384093710718405,0.0107189231695897,0.0120338799465575,0.00469845862411324,0.0420999900176325,0.0307180622774138,0.00408188775336403,0.0072117455859216,0.00758537380230407,0.0120738657307145,0.00466648110841501,0.00322333199410267,0.00124521343594082,0.00608851040358942,0.00496196585588268,0.00149991134120077,0.000424373663041086,0.00199928136381605,0.00758013344029033,0.00451087306157966,0.00767320382788983,0.0017373461611991,0.0033121995664659,0.00327132498380403,0.0215986172521228,0.000100526272876117,0.00343651011667569,0.0279046081342713,0.00313373559768463,0.00649459074357852,0.00350077492006223,0.00921541815498851,0.00895610885361406,0.0083863944001187,0.00989529002120064,0.00199850361930406,0.00410319577061292,0.0119066401934867,0.0141510570321363,0.00620934285953117,0.0115954944892514,0.0105767138077411,0.00371493645668224,0.0173223829696529,0.00713640606896835,0.00606840181805003,0.00680015981889407,0.003876183562633,0.0086014470203608,0.0116234773754848,0.00409938510639882,0.0264836804728531,0.00396796851742402,0.0152897047020872,0.0032176263849065,0.00617294169203473,0.023199374455225,0.000352524011708922,0.000250596911329448,2.87584310461315e-05,0.000292435377689146,2.16563844153448e-06,0.000117362905101159,7.89798192841117e-06,3.22593135339145e-05,0.000383324074220075,0.0037412083624111,0.000160534909796585,0.000387242299560345
"Pork..China",0.00556419180151879,0.00991904037314096,0.022013798521945,0.788825652308958,0.0263017147632787,0.00139305592952985,0.00240623872871088,0.0135192037997453,0.0112118769439342,0.00691022381458753,0.00372384243300728,0.00276776517756599,0.00519232130476407,0.00377880923487846,0.00191872068249205,0.00137618276529318,0.000257063097612139,0.00081516464667777,0.000157960451694136,3.43295333094016e-07,2.23239458076359e-06,0.00388005122286911,0.00169517406553158,0.00143235563583558,0.00155314442655295,0.000116339962809629,0.000552838362377429,4.3981141614527e-06,0.00270502676034224,0.00443874796747163,8.02709932456295e-08,0.00133507200308272,0.000448821220087221,0.00111085050055674,0.00299210441542318,0.00123875145799044,0.000106202851261875,8.49220149281883e-05,1.41646133679764e-05,0.00141022597991306,0.000755491316523853,0.0024013700291775,0.00393231934663344,0.0119246614570099,0.00103440123903659,0.00729016306701744,0.00339834650336264,0.0017555399946385,6.45212167700441e-05,0.000217977487288121,0.00107893012267205,0.00169887596036952,0.00522525116327712,0.0034179569907257,5.18450913724235e-06,0.0025489500232714,6.32826841471956e-05,0.000683765759034771,0.000756062289590966,7.70600526562708e-07,0.000162493838290471,0.000165374700153234,9.34616288253332e-06,1.52696522223205e-05,1.71775018992413e-06,0.000637604850665037,0.00173909649775557,0.00026251806247726,0.0064023313928777,0.00630305888664232,0.00287269213082837
"Beef..China",0.0218387887598697,0.0314892484589161,0.018165759456128,0.0193325044540078,0.579809171149171,0.0433312701213461,0.0198780086511814,0.0199337705635568,0.0156148371422926,0.0160401220034684,0.0094732275981241,0.0151141887793852,0.0153739862762797,0.00360425443387826,0.00333244919991125,0.0016529178932001,0.0041534132388633,4.9280067694959e-06,0.00118278213149518,0.00411592861119181,0.00071205669137369,0.00227869677148877,0.000750929024936662,0.000634145588554096,0.0010687863793027,0.00237996360681403,0.00838704363894095,0.00230629683700175,0.00221578970900433,0.0104651457073189,0.000637304473085999,0.00135062277720509,0.00194071976094876,0.0052770762614816,0.00247681210633857,0.002090305539103,0.00931050640459071,0.00119158350566522,0.000853400705540704,0.00367160887159419,0.00575638874291668,0.0091790715835432,0.00680072475197329,0.00717184636735777,0.00437627875904382,0.00752645702049691,0.00132295338565178,0.000962153040149604,0.000800287344384392,0.00293177082099809,0.0019426527677527,0.00598900667883086,0.00294987765368506,0.0187695632448328,0.000215344495871049,0.0031509764386534,0.00313031737155601,0.00295765052780581,0.00499392709768103,0.0011802976665395,1.72867170910823e-05,6.33987032089231e-05,6.94641128928584e-06,0.0011426093922247,6.19123754316683e-05,2.79911184299239e-06,6.04767542363385e-05,0.000246644261152513,0.0016316774900682,0.000162154575081812,0.00105619715932329
"Mutton..China",0.0294522869926602,0.0167263090785577,0.00844894633292865,0.00121975292625424,0.051617941303054,0.690691864778889,0.00954210018260649,0.0139684517600991,0.00153027643065778,0.00962048136879149,0.00381346834338101,0.00839872808128539,0.00591151877036656,0.000970072784383637,0.000888226290831965,0.00366421825240696,0.00100397544452214,0.00117421779801572,2.12470645490043e-05,0.00163323767930725,0.00378307889840143,0.000137722887012901,0.00526136405457829,0.000832371313662981,0.00012709307036633,0.005165336523914,0.00749245558416821,0.00235445750880837,0.0030888016767266,0.00411331436538534,0.00129296133527104,0.000275790013446592,0.00172615231598811,0.00191249044118376,0.00194791468473208,1.80003275635856e-05,0.00626543875608027,0.000136659131831003,0.000974504497010972,1.96949048926179e-05,2.09533876984194e-06,0.0063614275033779,0.013119723253662,0.00335661530338695,0.00162560861185117,0.00498935005566742,0.00590296714560002,0.00511727466283063,0.00827086497800138,0.00361038425919276,0.00468285164435495,0.00619452658964046,0.00302311902830509,0.0096529286866663,0.00215420209404362,0.00108125599980582,0.0027541095533853,0.00157926632580489,0.00654364078890694,9.02934052149038e-05,2.97652856844725e-05,0.000482377610806451,1.30863138364143e-06,1.04812580295831e-05,0.000830694259100658,0.00103450366972929,2.2521705068555e-05,1.66119935284315e-06,6.44958768193338e-06,0.000238790244525923,6.01736559589061e-06
"Cotton..China",0.0198641333576065,0.0571906703363445,0.0339998917521371,0.000946216299039106,0.0106345846409762,0.00428540990011287,0.310193531676205,0.0389364636317969,0.0016961862387004,0.0141990406051515,0.00497161143406648,0.0208696067130553,0.00814306671537527,0.0121524095812444,0.00876900417205617,0.0020762130610463,0.00897154696727186,0.00495794255221121,0.00679532158070572,0.0150191750859884,0.00553481595633219,0.00966578610182974,0.00983799388487996,0.0080876416692883,0.00438817892072025,0.00728245489899698,0.0130107633490071,0.0132933819809296,0.00731109664896354,0.0207937389752617,0.00432074405793102,0.00337972724357262,0.00729774378702165,0.0243119828118546,0.00532495118364605,0.0112906908484121,0.00995178343500594,0.00386373563019636,0.0127607045986628,0.0327409583824619,0.0370720117182563,0.00934232365323179,0.0080890993694122,0.00842490547554114,0.00684546712840246,0.00408803434017254,0.00850015228491703,0.00477268641105802,0.00554133399878809,0.00710379070322053,0.00565438740207739,0.0103172515716685,0.00809489237361322,0.0199155975687468,0.00064252889202776,0.0150540334483423,0.00309888752690938,0.00696538226045811,0.0142958133615498,0.0001198567278456,0.000191408232644481,4.43620385869596e-06,0.000233024618705458,0.000101214644925832,0.000386812963910878,0.000400221722651329,0.000259418216809755,0.000531243866283514,0.00908663923195161,0.0033101447964589,0.00243609861949462
"Soybean..China",0.0361781877203688,0.039407981923792,0.0330521296099928,0.00708292945446189,0.0142084662896422,0.00835808451019505,0.0518760133888773,0.413278513286373,0.00926044115063757,0.00918816320087752,0.011511570862628,0.0139660748291916,0.00455733769088198,0.00552137356118749,0.00760904796428483,0.00767403824657623,0.00309659091014182,0.000201055197534063,0.000340933194035167,0.00160906170225278,0.00150953117502193,0.00782149072939094,0.00319044749887702,0.00174284493779669,0.00990882395178052,0.00506059730463965,0.0148158047130976,0.0081807276230729,0.00479263508467803,0.0282180048828271,0.00333759158542948,0.00517508568645944,0.00614762251006186,0.0022412213075167,0.00615195188778674,0.00604511888833669,0.0137537638136953,0.00183040972434321,0.0024397066715912,0.00793693334181025,0.0103186463015143,0.00490063588045324,0.017193383562092,0.0124570740648287,0.00703960939470498,0.0158497748897262,0.0078399619007509,0.00299947162020281,0.0027768933546133,0.00390512112762911,0.00597697406252814,0.0109748288416467,0.0135951147210612,0.0192789947768686,0.00231636734615918,0.00928332076509983,0.000662552818526818,0.00711575599486559,0.0111834351517206,0.000236944906341893,0.00209061141632922,0.00334485488057122,0.000137691411507481,1.09411436314334e-05,0.00127626111085316,0.00148724351855214,0.00154609474026864,0.0010163151038159,0.00455714613346602,0.000258219036951048,9.14520105746244e-05
"Soybean.Meal..China",0.00766872941022998,0.00881205825266085,0.00443079918375316,0.00592591615238418,0.0112282114700888,0.000923727245697502,0.00227981183032983,0.00934215469954399,0.416925256833258,0.0545456909495685,0.196150597875784,0.0477309100505594,0.0277563268822051,0.00166900942930094,0.00178521504810909,9.56846900655416e-06,0.000577774243704525,0.000196723812181631,0.00180687335209712,0.0050968346798755,0.000128841424230011,0.00249015190416936,0.00143569388596172,0.00618876419573472,0.00214115017943276,0.000815468593421474,0.0022312353024383,0.00700279462246517,0.00363568073238631,0.0122092195815928,0.00439123224418466,0.00388299214604101,0.00150473643527332,0.00100672346717957,0.0017372317823223,0.0017307790120052,0.00523083270280781,0.00384669173763799,0.000103525506992002,0.00136788109625076,0.0021831836630963,0.0116478393198763,0.00730990194015056,0.0194295012791634,1.70405859668762e-05,0.0129487248044626,0.0044507430360323,0.00419912963196543,0.00330801669121892,0.0104196237898418,0.00462249058512783,0.00592566804181336,0.000692431144942075,0.00367949414396436,0.000236435840931656,0.00487146859204404,0.00422722381185975,0.00551213394411478,0.00464147531652835,0.000362028302562217,0.00210423142375557,0.000281639777455881,0.0028553538115643,0.0014646204215471,0.000236610573748847,0.000952045810246566,0.00115883080934395,0.000295501802851756,0.0077607829586608,0.00278366091120718,0.00147835081108987
"Soybean.Oil..China",0.00488346257966224,0.0153896168002055,0.00540283021402187,0.00252074669878198,0.00796050657069656,0.00400802646522621,0.0131717773855205,0.00639740716604441,0.0376461320230559,0.287751846007471,0.0356581525197154,0.121745571695654,0.156482588269293,0.00921147298045183,0.00638063987493129,0.000167296020945252,0.00929847299587044,0.00116809521533282,0.00518101555165472,0.0121552716175935,0.000510824119071342,0.00708296687064721,0.00215306514602355,0.022165010357887,0.00621273729379267,1.22608972846246e-05,0.00113365394334628,0.0117352816078213,0.014053895290406,0.00474629142913807,0.00428569098985045,0.00183355511570051,0.00423470001752007,0.0146890062414202,0.000404683129198107,0.00745946815803301,0.00196713846783232,0.00702203138777191,0.000273569329524188,0.00125768851458754,0.00307269562886978,0.0173035141017068,0.00745430572691269,0.0194187315199082,0.00177713967906432,0.0105523877987898,0.00718301871889439,0.0101987025193789,0.00585029637874365,0.00727501518779395,0.00312455888644433,0.00724329870795865,0.00114729141799905,0.00578482591333149,0.00260762620703682,0.00535627167238917,0.00152642293479803,0.00155426928693909,0.00156263472754658,0.000860244170019835,0.00287824821707272,0.0016268119295924,0.00152563398530003,0.000998327607136327,0.000339786127151883,0.00418450892035575,0.00152761611204004,0.000355041951355707,0.00731238539201665,0.00184470595221074,0.000739235662257144
